> x=-6.568, y=-6.855, z=24.274
FracGL -> x=-8.483, y=-10.357, z=24.295
FracGL -> x=-8.494, y=-10.368, z=24.308
FracGL -> x=-8.504, y=-10.380, z=24.321
FracGL -> x=-8.514, y=-10.391, z=24.334
FracGL -> x=-8.524, y=-10.402, z=24.347
FracGL -> x=-8.534, y=-10.413, z=24.360
FracGL -> x=-8.544, y=-10.424, z=24.373
FracGL -> x=-8.554, y=-10.435, z=24.386
FracGL -> x=-8.564, y=-10.446, z=24.400
FracGL -> x=-8.575, y=-10.457, z=24.413
FracGL -> x=-8.585, y=-10.467, z=24.427
FracGL -> x=-8.595, y=-10.478, z=24.440
FracGL -> x=-8.605, y=-10.489, z=24.454
FracGL -> x=-8.615, y=-10.499, z=24.468
FracGL -> x=-8.625, y=-10.510, z=24.481
FracGL -> x=-8.636, y=-10.521, z=24.495
FracGL -> x=-8.646, y=-10.531, z=24.509
FracGL -> x=-8.656, y=-10.541, z=24.524
FracGL -> x=-8.666, y=-10.552, z=24.538
FracGL -> x=-8.676, y=-10.562, z=24.552
FracGL -> x=-8.686, y=-10.572, z=24.566
FracGL -> x=-8.697, y=-10.583, z=24.581
FracGL -> x=-8.707, y=-10.593, z=24.595
FracGL -> x=-8.717, y=-10.603, z=24.610
FracGL -> x=-8.727, y=-10.613, z=24.625
FracGL -> x=-8.737, y=-10.623, z=24.640
FracGL -> x=-8.747, y=-10.633, z=24.654
FracGL -> x=-8.758, y=-10.643, z=24.669
FracGL -> x=-8.768, y=-10.652, z=24.684
FracGL -> x=-8.778, y=-10.662, z=24.700
FracGL -> x=-8.788, y=-10.672, z=24.715
FracGL -> x=-8.798, y=-10.682, z=24.730
FracGL -> x=-8.808, y=-10.691, z=24.745
FracGL -> x=-8.818, y=-10.701, z=24.761
FracGL -> x=-8.829, y=-10.710, z=24.776
FracGL -> x=-8.839, y=-10.719, z=24.792
FracGL -> x=-8.849, y=-10.729, z=24.808
FracGL -> x=-8.859, y=-10.738, z=24.824
FracGL -> x=-8.869, y=-10.747, z=24.839
FracGL -> x=-8.879, y=-10.756, z=24.855
FracGL -> x=-8.889, y=-10.765, z=24.871
FracGL -> x=-8.899, y=-10.774, z=24.887
FracGL -> x=-8.909, y=-10.783, z=24.904
FracGL -> x=-8.919, y=-10.792, z=24.920
FracGL -> x=-8.929, y=-10.801, z=24.936
FracGL -> x=-8.940, y=-10.810, z=24.953
FracGL -> x=-8.950, y=-10.818, z=24.969
FracGL -> x=-8.960, y=-10.827, z=24.986
FracGL -> x=-8.970, y=-10.835, z=25.002
FracGL -> x=-8.980, y=-10.844, z=25.019
FracGL -> x=-8.990, y=-10.852, z=25.036
FracGL -> x=-9.000, y=-10.860, z=25.053
FracGL -> x=-9.010, y=-10.869, z=25.069
FracGL -> x=-9.020, y=-10.877, z=25.086
FracGL -> x=-9.030, y=-10.885, z=25.104
FracGL -> x=-9.040, y=-10.893, z=25.121
FracGL -> x=-9.050, y=-10.901, z=25.138
FracGL -> x=-9.060, y=-10.909, z=25.155
FracGL -> x=-9.069, y=-10.916, z=25.173
FracGL -> x=-9.079, y=-10.924, z=25.190
FracGL -> x=-9.089, y=-10.932, z=25.207
FracGL -> x=-9.099, y=-10.939, z=25.225
FracGL -> x=-9.109, y=-10.947, z=25.243
FracGL -> x=-9.119, y=-10.954, z=25.260
FracGL -> x=-9.129, y=-10.961, z=25.278
FracGL -> x=-9.139, y=-10.969, z=25.296
FracGL -> x=-9.148, y=-10.976, z=25.314
FracGL -> x=-9.158, y=-10.983, z=25.332
FracGL -> x=-9.168, y=-10.990, z=25.350
FracGL -> x=-9.178, y=-10.997, z=25.368
FracGL -> x=-9.187, y=-11.004, z=25.386
FracGL -> x=-9.197, y=-11.010, z=25.404
FracGL -> x=-9.207, y=-11.017, z=25.423
